node_id,position_x,position_y,speed,direction,acceleration,packet_sent,packet_received,packet_drop_ratio,latency,message_retransmission_count,signal_strength,trust_score,neighbor_trust_score_avg,historical_trust_score,false_packet_injection,blackhole_attack_attempts,sybil_attack_attempts,denial_of_service,is_malicious
1,374.54011884736246,393.6355202774421,11.209224554000954,179.88128774245925,1.3799898659398222,459,227,0.5054466230936819,83.29807627492025,9,-74.86855489531985,0.7332768082904179,0.7167810501529323,0.8727115042278697,43,3,1,3,0
2,950.7143064099162,473.43565937502143,9.987362886942098,268.82883810453393,-1.8929280264077306,75,399,4.32,25.82819960503178,0,-67.57238513016819,0.893910922393944,0.9534536437538007,0.7879118894826167,16,1,0,1,0
3,731.9939418114051,854.5473932021803,5.284617375085801,202.56004103627993,-0.920161833780683,177,433,1.4463276836158192,46.60313939141229,0,-51.096693563125946,0.9287441756202127,0.9659946495529372,1.0381598614707577,9,4,1,3,0
4,598.6584841970366,340.0043860598921,18.218000103044638,29.9889299202467,0.9796838211469092,450,332,0.26222222222222225,16.919541891330198,8,-42.640682107592546,0.4452873014895792,0.4031154039506409,0.3919173868169794,36,1,0,4,0
5,156.01864044243652,869.6496848121714,14.298724815258867,66.80888524207994,-0.10746393285312017,272,211,0.22426470588235295,41.015881575369136,3,-92.98755758774165,0.28282130675125805,0.22156803852388646,0.2877451308533382,36,0,2,1,1
6,155.99452033620264,88.13443097669149,25.97102976972011,78.95814625113088,1.431426231809363,388,198,0.4896907216494845,2.529065647992048,8,-37.09282671693382,0.5117855493880601,0.5947339766143629,0.4706663453258982,1,4,1,2,0
7,58.08361216819946,776.7984372086307,0.9632874144617476,92.83113131214417,2.767247407337158,93,232,1.4946236559139785,91.16217771749183,6,-34.72221973135238,0.0930661983159724,0.1608620324421234,0.09402545155661066,11,2,0,3,0
8,866.1761457749352,847.5476330547364,19.31603782665379,203.54522110218153,-2.300719873708815,133,223,0.6766917293233082,67.9806176050563,6,-81.85111913351163,0.9381604615250636,0.9701408651962822,1.0336812305739718,36,1,0,0,0
9,601.1150117432088,181.81765283733876,22.888466355346832,181.42768073714166,1.257406298388366,456,60,0.868421052631579,33.948558045842404,1,-65.18284420406323,0.9838533219242174,0.9537276455634273,0.888757284663136,29,3,0,0,0
10,708.0725777960455,430.34653237220044,22.78459707564921,73.13761381111522,-1.6179350662073129,74,131,0.7702702702702703,88.2386277455463,1,-39.94872660512994,0.6527048609117444,0.654796737610244,0.7291427782222317,14,1,0,4,0
11,20.584494295802447,165.49977466365561,26.582219012865753,24.319743644047346,-0.5131396355545847,269,93,0.654275092936803,19.11003331387138,4,-65.88561676918975,0.7461616949731174,0.7577345211511919,0.729928386543178,22,4,2,0,0
12,969.9098521619943,706.6041289942177,21.871012284884824,61.71559361089851,-2.802823645229161,342,375,0.09649122807017543,8.79463945371176,9,-66.2617800007432,0.32367205557896706,0.2408860458053828,0.454157131254739,17,1,1,4,0
13,832.4426408004217,535.3477680616568,27.83430184943089,354.3772725426972,-2.184555706243806,253,120,0.525691699604743,94.31953653344335,0,-56.70337671055059,0.8662674576752957,0.9607142308264811,0.8803636620642159,30,3,0,4,0
